IdUtilizador,Nome,Email,Password,DataNascimento,DataCriacao,Geolocalizacao
3957,Wan On Kay,wanok90@outlook.com,VeuiKHGEvY,9/8/1975,3/1/2025,-74,101.7911
3958,Miyazaki Ren,mren@gmail.com,OpFkPPvWgD,24/1/1988,28/3/2022,+3.1239,	33.4719
3959,He Rui,rui10@icloud.com,9FTHCkZDm3,1/12/2001,5/6/2025,-16,180
3960,Kao Hok Yau,hokyau429@mail.com,8WorSXTk7D,30/5/1999,4/1/2025,9.9024,+61.00
3961,Kobayashi Ayato,kobaayato@gmail.com,FMYbB1VnK9,31/1/1988,7/12/2023,17,  -165
3962,Takagi Mitsuki,takagim@gmail.com,N8Ji1gBPQR,21/6/2001,23/3/2025,-33.521,	130
3963,Kenneth Henry,hkenneth2@outlook.com,p8f3veqjd0,12/6/1975,13/10/2022,90.00,180.0
3964,Cui Xiuying,cui1@gmail.com,9AFlizqUlS,15/12/1986,9/2/2023,+90.00,	  174.08
3965,Donald Kim,donaldk3@yahoo.com,Y2J1DUjSVB,6/3/1981,17/7/2024,90, 		180.00
3966,Cheng Ching Wan,cwche@gmail.com,XQW63Nt4Lh,9/2/1972,1/12/2022,14,  +180.00
3967,Gladys Sanders,sandersgladys3@outlook.com,xQ2cGCrtFB,14/9/1982,10/6/2022,90,8
3968,James Johnson,jamesjohnson3@gmail.com,V695nU3JXI,14/3/1990,22/8/2022,-90,   42
3969,Fred Dixon,fredd@icloud.com,Inrp32rGZN,5/11/1985,17/3/2023,-77,	180
3970,Xie Xiuying,xxiuying608@outlook.com,0uJrG8g7Q2,22/10/1972,7/7/2025,90,154.3640
3971,Xie Yunxi,xieyunxi@gmail.com,zJ9anTVgIz,30/8/2005,25/4/2023,+90,		+180
3972,Lois Morales,ml1@hotmail.com,K5VCO2cI3p,29/10/1995,6/11/2024,90.000,157.420
3973,Xu Yunxi,yunxx10@outlook.com,wsIxcQIqix,27/10/1996,2/12/2024,90,  -87.15
3974,Keith Simpson,keithsimpson2@gmail.com,s8wGzmMUhM,3/5/1988,1/5/2022,27.170, 	+180.000
3975,Patricia Cox,cox5@outlook.com,vIWzBIB7HI,2/10/1984,31/1/2024,+69.9019,	+180.0000
3976,Willie Johnson,johnsonw@hotmail.com,QDiRMh1tyH,18/8/1980,17/9/2025,-90,	 	+180
3977,Wendy Long,longwendy@outlook.com,eVjMZoAu9U,14/9/1972,24/8/2022,+90,		180.0000
3978,Wu Yunxi,yunxi1225@hotmail.com,NyxpU2LZAP,15/11/1970,22/4/2022,83.9, -180
3979,Otsuka Mai,otsukm10@gmail.com,7n2NG3FIFH,8/6/1993,21/9/2022,6.059,	 180
3980,Zhu Lan,zhu6@gmail.com,u0pCxj75uG,18/9/1993,12/3/2023,90.000, 	154.06
3981,Goto Kaito,kgoto@gmail.com,V8fxiThSAF,4/5/2004,15/11/2022,+90.0000,	+180
3982,Yu Jiehong,jiehoyu@mail.com,tXoWjL6Tci,9/12/1989,24/1/2023,+90.0,		+61.5936
3983,Laura Allen,allen03@gmail.com,jFIJDTTlDo,10/4/1981,13/9/2024,61,62
3984,Mo Jialun,mo9@icloud.com,SCdXInIjDE,22/7/1998,17/8/2024,90.000, -180.0000
3985,Chow Sai Wing,sachow@hotmail.com,GIuuzQTvzE,17/4/2004,10/1/2023,0,  180
3986,Hara Rin,hararin@gmail.com,jk1RLCw8KS,26/8/1992,8/8/2023,7, 75
3987,Brenda Scott,bscott@yahoo.com,OWesgKCHKx,16/3/1980,6/4/2022,-9.462, 114.40
3988,Rhonda Hernandez,rhonda4@sapo.pt,EwtVN09QAS,30/10/1999,4/8/2025,90.00,	 180.000
3989,Su Ziyi,ziyisu216@gmail.com,sWEw7JeBgY,15/9/1975,24/10/2022,67.92,			+167
3990,Wang Yunxi,wyun1971@hotmail.com,oyJ45yu33C,22/4/1974,30/5/2022,+90.0000,		-180.0
3991,Ueno Yota,ueno1108@hotmail.com,9XSpjz7RgY,20/5/1984,4/10/2025,5.5,	180
3992,Zhou Anqi,anzhou@hotmail.com,w5AoPuUULD,11/11/1973,1/4/2025,22.02, -22.882
3993,Song Yunxi,syunx@gmail.com,hRDc21dBR9,27/1/1978,18/5/2023,-79.7,101
3994,Michael Bell,bell9@hotmail.com,3AsyNBU4Ms,3/8/2001,27/3/2022,90,		-156.64
3995,Du Jiehong,jdu2@outlook.com,52uFVLn5dK,20/6/1977,29/4/2023,90,180
3996,Kikuchi Daichi,kikdaichi@gmail.com,er4ywhDAcw,29/10/1999,16/9/2022,16,		+179.736
3997,Tao Hui Mei,tao131@icloud.com,9COoTjSqeE,20/9/1980,2/12/2023,+90,	 175
3998,Maeda Mai,mamaeda@icloud.com,pDCA1rf2u5,2/3/1990,12/4/2022,-5,	180.0
3999,Jose Long,jlong223@yahoo.com,pE2pBdkG6i,15/3/1972,7/6/2022,-83,		180.000
4000,Ono Rin,rin9@outlook.com,ZpzQmON0Gr,1/2/1979,14/6/2023,+17.31,+21
4001,Kobayashi Miu,kmi1109@yahoo.com,YEpSWQlhKD,6/12/1982,16/10/2023,+49.9370,	-146.0206
4002,Yan Shihan,yans@gmail.com,qrHGoXZ2pm,25/3/2001,3/5/2022,+90.000,+0
4003,Ruby Garza,garza7@outlook.com,pjakkstdNy,6/7/1990,22/10/2023,90.0,180
4004,Tamura Yamato,tamurayamato@hotmail.com,RsDoY9CTL6,9/1/1979,21/8/2023,-90.0,		180.000
4005,Bradley Owens,owensbradl@hotmail.com,YP6ROXolyi,11/7/2000,10/4/2025,+4,		6
4006,Choi Kwok Wing,kwokc84@gmail.com,rtPEnDKsdE,6/2/1988,10/4/2024,-90,   147.4941
4007,Zheng Shihan,shihanzheng@sapo.pt,RYNX5qt8Fe,3/8/1975,29/7/2022,0,  -180
4008,Mo Ka Man,kmm1214@outlook.com,UctZYcDdGm,3/11/1997,4/12/2023,-3.5486,	+3
4009,Ichikawa Momoe,momoe1958@icloud.com,LB6K5YZz3B,2/3/1991,27/3/2024,-24,   -126
4010,Morita Daichi,morid@icloud.com,VQVTWoWJ0E,7/10/1988,7/2/2025,+90,180.0
4011,Tang Yunxi,tanyunxi@gmail.com,kJnTOiJZm2,19/10/1991,23/6/2024,4,			-180.000
4012,Crystal Foster,fosterc@outlook.com,Jt2pNZO63k,13/2/1990,6/2/2025,90.0000,180
4013,Kam Wing Kuen,wingkuenkam2@hotmail.com,mXROKY8LXv,29/12/1977,17/3/2024,0.83,+6.2
4014,Tse Chiu Wai,chiuwaits@hotmail.com,NIg1jzsMwG,28/6/1985,11/9/2024,71,	 	+180
4015,Diane Hill,hdiane@mail.com,uGxEJZtpNu,31/10/2005,27/3/2025,90,		-5.056
4016,Su Lu,sl801@gmail.com,5wNrPJTXrD,17/3/1976,6/8/2024,+0.4,	 +180
4017,Murakami Ayano,ma1984@yahoo.com,NjEE11kZp0,4/5/1994,16/7/2025,-5,	 180
4018,Marie Martin,martin12@outlook.com,Bxsm2pRZK5,11/1/1991,11/2/2023,-90.00,	 -172.485
4019,Arthur Carter,arthurcar612@hotmail.com,CoPYuDTsSN,8/10/2004,13/8/2023,-90.000,	 	180.000
4020,Fang Lu,fangl@hotmail.com,lqiu5eLTTc,6/3/1996,19/9/2024,+7.888,7.6052
4021,Cai Zitao,cai10@gmail.com,mslEQVLEXG,11/1/1997,12/12/2023,-13.5141,+111.0
4022,Kudo Aoi,kuaoi@icloud.com,0STrWnZpQH,5/2/1978,30/8/2023,+90.0000,180
4023,Pak Wai Man,pwaiman@outlook.com,qitOWtQ7Mk,25/5/1977,6/5/2024,63.43, +137
4024,Chang Kwok Ming,chakwo@mail.com,qEs2LmsZC0,5/7/1977,13/5/2022,-90.0000,  180
4025,Jin Rui,rui912@gmail.com,PUIpL5gPrX,13/10/1995,10/2/2024,+90.0000,		-151.8004
4026,Shi Jialun,shj@outlook.com,8WL16soBcO,23/4/1979,9/6/2023,-90,	 	172
4027,Shimizu Sakura,shimizusakura921@yahoo.com,mV1AXt0rRS,24/10/2000,14/7/2025,90,0.9
4028,Yung Tak Wah,takwahyu47@icloud.com,1JTbfPNS5i,8/9/1994,27/6/2023,90,103.311
4029,Xue Jiehong,jiehongxue@gmail.com,V7hrxQ0sUc,28/3/2001,1/4/2022,-31,	 	180.0
4030,Sano Momoe,sanomomoe@hotmail.com,jNNmTWoy1g,17/8/1990,15/4/2023,+45.9,	0.3
4031,John West,johwest@yahoo.com,QwsLdnDtGJ,1/8/1972,12/1/2023,-19,		-180
4032,Xu Yuning,yuningxu2@sapo.pt,bgWMb8Ef1l,27/3/1975,23/8/2024,25.9,-1.9965
4033,Bryan Kelly,bkelly1208@gmail.com,4alzb5Iy3i,29/10/1986,12/5/2024,90,	-67.7
4034,Stephen Morgan,morgstephen@gmail.com,zxbR7BhEGH,23/10/1987,15/3/2023,+6.55,		-180
4035,Lam Tsz Hin,thla5@gmail.com,fPK8zhrsgb,24/5/1996,3/4/2025,90, 		141.1337
4036,Carol Soto,carol7@hotmail.com,mf1AlwId2G,21/9/1992,25/5/2025,48,180
4037,Wu Jialun,wuj@gmail.com,RHkAAGIAVr,18/6/1974,28/10/2023,-7,	144.0614
4038,Tam Wai San,tam1@icloud.com,aitPk4daST,11/8/1978,8/12/2025,+4.47, 		180.0
4039,Arai Sakura,saarai10@icloud.com,KLgfGuiuNb,4/1/1980,15/6/2024,-6, 	+150.227
4040,Edith Washington,wased2005@gmail.com,LWwCNakrqO,15/5/1977,16/10/2022,90.00,	+180
4041,Hashimoto Kenta,kenta9@gmail.com,PcLLHXC4Hr,12/7/1989,20/1/2025,90.0000,		 35.37
4042,Zhang Jiehong,jiezh@gmail.com,Zr3IZmUP4w,19/4/1971,26/3/2025,6, 	-180
4043,Margaret Powell,mapowel85@yahoo.com,61R3IbiU34,27/4/1990,31/12/2022,90.00, +180.0
4044,Leonard Woods,woods9@hotmail.com,MJOwlS6MbW,15/7/2004,20/8/2024,+3,   +180.0000
4045,Kobayashi Riku,rikuko@yahoo.com,e6sted7xSp,16/11/1978,15/2/2023,2,		30.0908
4046,Siu Wing Sze,wingsze10@hotmail.com,NnyawAYYc6,18/2/1983,8/11/2023,-19, 	14.580
4047,Sugawara Miu,miu1112@outlook.com,rcwfXzBZS0,21/11/2003,20/2/2023,85.620,			-8
4048,Heather Patel,pheather@mail.com,ne3iQqe6jV,3/9/1970,18/7/2023,90, +81.2
4049,Watanabe Seiko,waseiko@gmail.com,ZzGkvL6Z9n,6/7/1970,15/8/2025,+7,	  -180.000
4050,Tam Ka Keung,takk517@outlook.com,JCPYYn82nw,8/12/1985,25/10/2023,-90,+178
4051,Josephine Palmer,josephine9@gmail.com,Cqy6uvXica,7/2/1988,14/2/2023,90.0, 102
4052,Billy Ruiz,ruizbil@mail.com,0QwDaFwS8K,15/9/2004,29/3/2023,-90,	 2
4053,Tsui Chi Ming,chimingtsui@gmail.com,PZsObRm9R4,16/7/1972,1/2/2024,0.495, 40.9
4054,Dong Jialun,jialun2@sapo.pt,XyEA01fJZO,12/3/2002,3/8/2022,+90.00, 180.000
4055,Man Wai Yee,waiyeem@sapo.pt,9cmkK6vvDY,26/12/1992,12/7/2022,-90.000,   180
4056,Zeng Jialun,zengjialun808@gmail.com,5eUCRnTRIy,26/4/1980,14/4/2023,+90,			-180.0000
4057,Che Lai Yan,claiyan@outlook.com,h24gqaMzbx,16/7/2001,4/4/2022,+5.46,	180.0000
4058,Li Xiuying,xili@hotmail.com,xEHmHw365x,29/6/1972,5/10/2022,-8.4149,	 180
4059,Hao Zitao,haozi525@icloud.com,hrxWGiWpOX,20/1/1979,7/9/2022,90, 		+180
4060,Jiang Lu,lujiang@hotmail.com,l9FFm7KVDk,16/10/1985,2/9/2025,-90,180.0000
4061,Chen Lan,chenla@outlook.com,OthMIalc8j,18/11/1990,20/2/2022,54.4628,	  174.0
4062,Chad Bell,belch@gmail.com,plpBrmlejS,24/11/1995,17/4/2024,-6, 		180
4063,Morita Yuto,moyuto@icloud.com,CgFS9DQxrM,28/9/1988,3/9/2022,-83,   +180.00
4064,Gong Zitao,gongz@outlook.com,JEozW6eW1R,13/6/1979,17/1/2024,+3.513, -90.3
4065,Dong Zhiyuan,dzhiy@hotmail.com,7LQ03uJKxB,28/12/1995,27/6/2025,-0.1050,	+180.0
4066,Sakai Mio,misa@yahoo.com,MJmLSbSphV,23/11/1977,1/9/2025,-90.0,180
4067,Yamada Seiko,yamaseiko8@gmail.com,kmwdHhKwsX,8/3/1993,14/1/2022,4.651,180.00
4068,Takada Ayano,takayano524@outlook.com,KanXwUJIw0,21/2/1995,3/3/2023,90,	+140.733
4069,Xu Yunxi,yx927@hotmail.com,IuuPPQhTtx,18/4/1976,4/2/2023,-90,+180
4070,Francis Dixon,dixonfrancis2@gmail.com,ZQfOcuUX5t,20/11/1986,7/10/2022,90,180.0
4071,Wendy Chen,chenwendy@yahoo.com,7iTv51zh2l,22/7/1989,23/5/2024,5.250,  47
4072,Edna Shaw,ednashaw@gmail.com,geLedz8qbk,2/12/1996,25/4/2023,90, 120.10
4073,Edwin Black,edwinbla9@gmail.com,GBxaB7rQNG,27/11/1988,18/8/2025,7.1,+180.0
4074,Zheng Yuning,yuningzheng@yahoo.com,e7yLL2XM7u,10/3/1997,16/11/2024,-7,	 180
4075,Kwong Suk Yee,kwongsy@yahoo.com,KrDKQFTNqU,29/7/2002,12/2/2023,-90.0,			180.0
4076,Tracy Martin,martintrac2@hotmail.com,xarmSzJOT9,12/2/1988,6/4/2023,-5.5,  0
4077,Ding Xiuying,dingxiu7@sapo.pt,LeeKh2hqnq,20/4/1979,21/4/2022,-90.0000,  	1.3656
4078,Kojima Daichi,kojimadaichi@hotmail.com,AJQ1eRWVQs,19/3/1970,12/1/2024,90.0000,			-97.0
4079,Hasegawa Sakura,sakurahasegawa@outlook.com,q2P5H4vXlv,30/5/1972,11/12/2022,90.000,		-180
4080,Nakagawa Kenta,kentanakagawa@icloud.com,E79uabohy3,24/1/1986,10/2/2022,57.467,180.0
4081,Chen Zitao,chen55@outlook.com,WByqVcoIIV,10/10/1974,6/3/2022,+90,73
4082,Leung Fat,fat69@gmail.com,GA2Qx2rqar,11/10/1993,8/12/2022,90.0000,-180
4083,Hayashi Hikari,hikhaya@mail.com,8MxRDuhg15,30/4/1979,4/6/2022,-86,	-36.963
4084,Deborah Taylor,deborahtaylor@yahoo.com,OzAZ5km78x,17/1/2000,27/11/2023,7, -180.0
4085,Sakai Kazuma,kazumsakai7@yahoo.com,1rohJUTf52,25/5/1998,1/12/2025,90, -180.000
4086,Cheng Lik Sun,cliksun@gmail.com,1I8LdoQ8IM,29/8/1995,30/10/2025,90.000, 171
4087,Gong Zhennan,gongzhennan@hotmail.com,6r9amBIsJq,12/12/1970,1/5/2023,+63.42,143
4088,Wendy Freeman,freemanwendy@gmail.com,QcRt9hFnLS,8/9/1980,18/3/2025,9.2,	 167
4089,Fujii Kenta,fuk@hotmail.com,D9Ea2giKFU,5/12/1992,21/2/2024,+90.000,	-129.5317
4090,Qin Jialun,jialunqin9@gmail.com,Oq4VlB7ehv,25/10/2001,25/11/2025,+5,   -180
4091,Irene Johnson,ijohnson@gmail.com,OsKhe36pgP,18/3/1994,21/3/2022,90,	143
4092,Nakamura Sakura,nakamuras@gmail.com,jD1r1K3MdF,30/3/1997,26/9/2024,0.729,	 -180
4093,Lu Zitao,luzitao@gmail.com,oP0swg9FTQ,4/8/2002,15/7/2025,-90,	170.4836
4094,Clarence Washington,clarence1020@gmail.com,BOI2RgF0Hk,15/6/1993,17/2/2023,+81.417,			-180.00
4095,Song Lan,songlan7@icloud.com,wmtSTq8JHw,30/12/1977,20/9/2024,+90,	 	-180
4096,Cho Wing Fat,wingfatch@gmail.com,QWSfmb4YQU,16/1/1995,9/1/2025,-55.4063,  	-180.0000
4097,Tian Lu,tianlu@hotmail.com,EK9j0HwBxK,17/10/1996,30/3/2024,-11.775, 		-87.0
4098,Kwong Fat,kwongfa79@outlook.com,Rfw1NPfari,19/6/1988,15/3/2022,9, +5
4099,Cynthia James,cynjames903@gmail.com,THmJh5L7XH,12/11/1981,1/9/2025,90,+180
4100,Martin Ryan,ryan3@yahoo.com,IAMWXhO7Ps,30/6/2000,9/10/2023,90.000, 	-180.0
4101,Wu Yu Ling,wyuling@gmail.com,qI7tHMfSBL,24/2/1978,1/3/2025,-0.53,  	+171.8
4102,Kojima Kaito,kaiko@hotmail.com,ph0wecePZV,6/6/1972,19/5/2025,3,			-180.00
4103,Ng Tsz Hin,ngth@hotmail.com,if3WVIWYz0,9/5/1970,28/6/2022,+90,1
4104,Cheung Sau Man,cheung1028@icloud.com,trLZYgMNGx,21/7/1985,19/5/2024,+6.7,	180.00
4105,Nakamori Tsubasa,tsubanak@hotmail.com,tYbvnJbp4F,29/6/1996,3/8/2025,+90.00, 30
4106,Cheng Rui,rche@gmail.com,aFa0cB2fd4,12/10/1981,19/4/2024,-68,	 	49.0811
4107,Sherry Jenkins,jenkisherry@hotmail.com,ZFFIbxGMjK,21/9/1984,9/5/2025,+90,			136
4108,Pang Kwok Wing,pangkwokwing@gmail.com,mRCulvz9W9,25/5/1990,29/7/2024,+42.7962,			-180.00
4109,Chen Anqi,chenanqi@gmail.com,ays2wTX2PI,2/3/1986,27/11/2025,+27.2,180
4110,Mori Kazuma,morikaz@hotmail.com,s0JUqVfdu1,13/6/1973,17/3/2025,14.0962,180
4111,Wang Xiaoming,xiaoming4@gmail.com,vSg7OAzvpA,13/5/2001,5/1/2025,24,	 180.000
4112,Kikuchi Momoka,kikuchim1122@gmail.com,SwU5OaSNaU,21/1/1990,29/9/2025,-5, 180
4113,Yan Zitao,zitaoya@gmail.com,2hwt6Qt1u4,21/4/1977,9/1/2025,79,	180
4114,Lin Yunxi,lin10@icloud.com,F7ttKbwv7i,16/7/1994,11/4/2022,-68,		 165
4115,Yip Ka Ming,kaming1956@gmail.com,iBiYaIqHik,20/3/1971,20/8/2025,90, 	 +180.00
4116,Takahashi Daisuke,daisuketakahashi@mail.com,YqR2J4jIif,14/10/2000,24/12/2025,+90,	180
4117,Marcus Gordon,marcusgordon@gmail.com,HfOftt668n,8/1/1999,30/4/2024,+90,	 	180
4118,Peng Rui,rui79@mail.com,JSp1oqlt6d,3/10/1979,25/5/2024,+85,-154.9
4119,Lin Jialun,ljialu@outlook.com,VsZRs7gNNn,25/12/2000,29/5/2025,-49.530,-180.0
4120,Sheh Ho Yin,shy@gmail.com,0NdsoiBzH0,13/6/1974,26/1/2024,+0.07,	 6
4121,Xie Yuning,yunixie212@hotmail.com,mcBLZLMcsR,27/3/1971,9/4/2025,+90.000,+180.000
4122,Liang Yunxi,lianyunxi@mail.com,ZPMsTOXodS,21/2/1996,4/2/2022,+90,	 180
4123,Linda Thompson,lithompson@yahoo.com,Rerll0ixCt,15/3/1997,13/1/2024,-90.00,180.00
4124,Chu Sze Yu,chszey16@outlook.com,P3V0dkJIg5,13/6/2001,6/8/2025,90.00,  +180
4125,Long Zhennan,zhennan9@outlook.com,Ntd08uMyLc,3/5/1977,29/5/2024,-90.0,150
4126,Zou Anqi,zou7@gmail.com,Hqm2V9cUgW,9/2/2000,30/1/2025,+79,-180.0
4127,Abe Momoe,momoeab82@gmail.com,G5koxcwrxk,20/2/1998,25/3/2022,90.0,7
4128,Pan Yunxi,pan1987@hotmail.com,Nk79XggBkb,24/9/2003,4/6/2024,+6,1
4129,Su Anqi,anqisu@icloud.com,SC0FReor8Y,9/12/1984,26/1/2024,90,		158
4130,Su Rui,ruisu@sapo.pt,gJGEJbhdq8,19/3/1990,15/12/2024,90.0,-180.00
4131,Jin Lu,lu40@gmail.com,pLqwkxlfZr,17/10/1998,11/10/2022,+2.4697,	180.00
4132,Takeda Aoi,aoita@gmail.com,8ojsxeZ6lk,16/9/1996,13/8/2023,-8.3,180.000
4133,Yokoyama Hana,hanayok@icloud.com,rwrbhbUL0b,12/9/1970,5/7/2022,90.0,   +2.509
4134,Yang Zhiyuan,zhiyuan99@gmail.com,jFJdzDWIU1,24/4/2001,20/1/2022,90.000,155.6446
4135,Sano Hana,hansano@icloud.com,BRtIPbV5l8,23/7/1982,1/5/2025,-90.00, -180.0
4136,Ng Suk Yee,ngsy@hotmail.com,OkNeb9b1hv,25/7/1991,6/11/2025,+90,	 	85.862
4137,Song Ziyi,songziy9@hotmail.com,jNUdtNAIqR,17/7/2000,31/5/2025,2.6,0
4138,Jiang Anqi,anqijian704@gmail.com,OY91ygwzmD,11/8/1995,10/9/2024,90,	+8.2
4139,Keith Rice,krice1@gmail.com,wiToAF2jqX,13/3/2003,20/11/2023,+90.0000,	-180
4140,Sugawara Ryota,suryo6@icloud.com,6NcurrDGcU,28/8/1990,6/11/2025,-90.0000,  +180.000
4141,Aaron Tran,tran19@outlook.com,ne6IUkM1pJ,19/3/1970,20/4/2023,-7, 		180
4142,Kudo Ayano,kudoayano308@yahoo.com,LGZO83W7if,17/10/1970,3/5/2025,90,-180.0
4143,Jeff Mason,mason43@gmail.com,5pMqzWT8hZ,16/2/1992,19/4/2025,-90.000, 	 17
4144,Frances Morris,frmorris@outlook.com,Oi5ECJZamU,29/8/1999,22/8/2025,5.931,-168.0588
4145,Ichikawa Airi,ichiair@outlook.com,ke2zCq7yIh,13/5/1975,15/8/2024,33.0, 		+141.404
4146,Mak Siu Wai,maksiuwai@outlook.com,gjkDAUxkCy,11/9/1985,16/1/2024,-90.0,3.5005
4147,Inoue Ryota,inoue1@hotmail.com,gD16QrIng7,7/10/1985,16/9/2023,+7,+7.1
4148,Francis Cole,cof4@gmail.com,RuzaMn5DLC,22/2/1995,17/2/2023,-90.0000, +32.3
4149,Tong Wing Suen,wingsuent9@outlook.com,JOc03IO4oc,28/8/1990,31/8/2025,90,110
4150,Su Xiaoming,xiaomingsu@gmail.com,QSqi7Dvk0z,21/3/1970,22/5/2025,23.28,  180
4151,Lei Jialun,leijialun4@gmail.com,ZDYt2G5ARQ,19/11/2002,31/1/2025,90.0000,	+180
4152,Tian Anqi,anqi73@hotmail.com,sJkEzQe0KZ,31/5/1975,11/1/2022,90.00,	-180
4153,Kimura Kazuma,kimurakazuma@gmail.com,vFL3ebJMOj,4/4/1989,16/9/2025,90.00,-180
4154,Yeow Hui Mei,yeow1999@gmail.com,nT7jGl9aOX,22/8/1998,20/1/2022,-38,132.0802
4155,So Wing Sze,sowingsze@gmail.com,DIo1r3BQiF,22/9/2001,13/9/2024,40.3532,  -180
4156,Crystal Phillips,pcrystal@gmail.com,GXVCziuV4z,14/9/1983,17/2/2023,0, 	+121.461
4157,Shannon Castillo,csha7@gmail.com,D8IJNAIrf8,17/7/2002,19/6/2022,-90,	+180
4158,Thelma Rivera,rt418@sapo.pt,JQHQ9eNwdf,7/6/2003,12/11/2024,-68.5600,	 -180
4159,Hashimoto Kasumi,hashimotoka@sapo.pt,5qVfrfCyus,22/9/1970,4/9/2025,-90.0000,   -165
4160,Dale Cole,dalco64@gmail.com,9qZDNBxcDA,27/11/1980,31/3/2023,90.0,  	+4
4161,Liu Zhennan,liuzhennan@gmail.com,vDp08pV0r2,8/5/1977,8/12/2024,2,	 +27.5839
4162,Cheung Wai Yee,waiyeeche1973@gmail.com,luw4uzDpWQ,12/9/1994,16/6/2024,90, 	180
4163,Tin Ka Fai,kft@icloud.com,aCtDCK3BBe,15/1/1994,31/10/2024,-7.9,		 102
4164,Ishii Eita,ishiieit307@outlook.com,ShSf7zUIfV,21/4/1983,25/6/2023,+90.0000,	7.694
4165,Stephen Reyes,stepr@gmail.com,ir2wMj91gi,23/9/1998,15/6/2023,90.0000, 	-8.8250
4166,Takeda Akina,takedaakina@icloud.com,9cknR3IbEk,8/1/1978,28/2/2023,90,	180.000
4167,Pamela Diaz,pamdiaz@icloud.com,16iZxezJ1u,6/1/1995,1/12/2023,90.00,+114
4168,Takeuchi Kenta,takkenta303@hotmail.com,tMCJq0zm5V,14/8/1983,8/11/2025,90.000,	180.00
4169,Wendy Perry,wperry47@icloud.com,fdEQ0lHhER,23/5/1989,10/3/2022,90.0000,	 +116.9349
4170,Sakurai Ren,rsaku411@gmail.com,C7FeShGBsd,28/2/1976,4/12/2025,90.0,	 +47.31
4171,Wada Ryota,wadaryota@hotmail.com,L5A0b1dtwl,30/1/1996,17/8/2025,-7.3734,  -178.4853
4172,Gladys Alexander,gladyalexander6@sapo.pt,KGF8UZWKrI,26/12/1990,19/3/2023,7,180
4173,Choi Wai Man,choiwm@gmail.com,3ayJ4iPY68,10/2/1975,7/1/2024,-77,+180
4174,Taniguchi Yota,yotaniguchi@icloud.com,1Tj8xo0hcI,13/6/1970,8/10/2025,38,  +105
4175,Endo Misaki,endom@icloud.com,9s5DUBsL14,30/12/1993,27/3/2025,90.000,180.00
4176,Lee Chung Yin,lchungyin92@outlook.com,Npr0oOosGL,24/8/1978,11/5/2024,1,	 +135
4177,Lai Hiu Tung,laiht@gmail.com,6HYLV4JfpT,24/5/1981,9/8/2025,+76.8,  -117
4178,Feng Lu,fenglu@yahoo.com,fQ5BVZ3Hcr,30/10/1999,14/1/2024,-90.0,	180.0
4179,Lam Ming Sze,mslam@outlook.com,2JM3WgnKdp,11/12/1984,30/11/2023,-6,+180
4180,Sakai Kazuma,ksa@outlook.com,59gyPsUlYT,13/5/1978,1/12/2023,90, 	180.00
4181,Hazel Hamilton,hazel81@gmail.com,Q35FN2e2ZZ,14/11/1990,13/1/2023,55.031, 	4
4182,Lu Shihan,shihlu@sapo.pt,GUceEdvuwV,26/9/1997,23/2/2022,-17, 180.0000
4183,Mui Ka Man,mukm@hotmail.com,2xJmNhqEOG,28/12/2001,16/1/2023,+49, 177.1
4184,Tam Ka Ling,kltam926@gmail.com,HwV1rgG803,29/1/1999,5/1/2024,90.00,		65.777
4185,Choi Hok Yau,hokyau4@icloud.com,1H9V0e2RoE,16/8/1976,20/8/2022,+90.0,180.0000
4186,Sato Miu,miu703@gmail.com,bGXuqGH1dy,25/10/2000,30/8/2025,-19,+11
4187,Doris White,doris3@gmail.com,Js7hZOvUs1,26/9/2005,2/10/2025,56,  	180
4188,Liang Lan,lanlia927@gmail.com,yMpuhfeBBM,12/6/1990,20/2/2023,-66.8,	 	180
4189,Tiffany Boyd,botiffany@hotmail.com,WTxXy7iKB7,18/7/1991,28/1/2023,74.6050,-180
4190,Sato Hana,satohana@icloud.com,vIuvTqUPhZ,8/10/1972,5/4/2024,90.00,180.000
4191,Tsang Wing Sze,tsangws10@gmail.com,ZAkjeysemX,2/12/1979,21/8/2025,-90,	-180.0
4192,Ku Ting Fung,ku909@yahoo.com,Hhhhlv1ZIs,28/12/2003,15/1/2025,+90,  180.0000
4193,Eva Ellis,eva806@gmail.com,mdprJL1GS4,22/3/1973,13/1/2023,-4,-180
4194,Maruyama Itsuki,itsmaruyama@gmail.com,nGB9FsG9Av,1/3/2004,10/1/2022,79.6,	180.000
4195,Manuel Cooper,cooper4@outlook.com,J8I3uvhJy5,17/11/1981,12/1/2022,-90, 180.0000
4196,Miyamoto Akina,miyaakina@hotmail.com,rR9wxgs0PQ,2/5/1985,16/5/2025,-3,  180
4197,Martha Morris,mmorr@sapo.pt,QrkkmJlXYW,18/9/2004,26/6/2025,-90.0, 		180
4198,Wu Zitao,wuzitao@outlook.com,nNe8dHAmoC,20/5/1998,23/5/2023,-90,-180
4199,Mark Washington,wasmar@gmail.com,cETRAe2iOs,13/1/1996,13/12/2025,+6,		 -180.0
4200,Gloria Barnes,gloriabarne@gmail.com,1trLByhlEW,17/11/2005,19/7/2022,90.000,7.1
4201,Tsui Ching Wan,cwt617@icloud.com,pEJS0vYjty,30/5/2002,10/10/2024,+90.000,	44
4202,Liu Ziyi,liziyi2@outlook.com,EmozwXrG2H,16/8/1982,12/9/2023,14,156
